iter	Passed	Remaining
406	6317	55770
407	6332	55752
408	6347	55730
409	6361	55703
410	6378	55697
411	6394	55691
412	6411	55686
413	6427	55675
414	6442	55656
415	6458	55645
416	6474	55628
417	6492	55639
418	6509	55634
419	6524	55614
420	6539	55591
421	6553	55565
422	6567	55537
423	6582	55514
424	6596	55490
425	6611	55464
426	6625	55444
427	6640	55420
428	6654	55391
429	6669	55369
430	6683	55344
431	6697	55319
432	6712	55300
433	6727	55277
434	6742	55254
435	6757	55241
436	6772	55219
437	6787	55196
438	6813	55264
439	6827	55237
440	6842	55222
441	6856	55197
442	6871	55176
443	6885	55147
444	6900	55123
445	6915	55103
446	6929	55079
447	6944	55058
448	6958	55036
449	6973	55013
450	6988	54997
451	7003	54977
452	7018	54953
453	7032	54927
454	7049	54924
455	7065	54912
456	7080	54893
457	7095	54872
458	7110	54856
459	7128	54855
460	7146	54859
461	7162	54848
462	7175	54817
463	7190	54795
464	7205	54776
465	7218	54745
466	7231	54711
467	7245	54681
468	7260	54666
469	7275	54647
470	7291	54633
471	7307	54619
472	7325	54627
473	7340	54604
474	7354	54580
475	7370	54563
476	7389	54575
477	7404	54560
478	7419	54537
479	7433	54511
480	7448	54491
481	7462	54470
482	7477	54451
483	7492	54430
484	7506	54400
485	7522	54389
486	7539	54388
487	7554	54366
488	7571	54359
489	7586	54342
490	7602	54330
491	7619	54324
492	7635	54313
493	7649	54287
494	7664	54270
495	7682	54274
496	7699	54266
497	7714	54250
498	7729	54232
499	7744	54208
500	7759	54190
501	7773	54168
502	7788	54145
503	7802	54122
504	7816	54099
505	7831	54079
506	7846	54057
507	7861	54037
508	7875	54015
509	7890	53995
510	7905	53975
511	7919	53954
512	7935	53938
513	7949	53917
514	7964	53894
515	7978	53871
516	7993	53850
517	8007	53828
518	8022	53809
519	8037	53789
520	8052	53769
521	8066	53747
522	8081	53724
523	8094	53698
524	8110	53682
525	8125	53662
526	8138	53636
527	8153	53615
528	8167	53589
529	8181	53568
530	8197	53552
531	8211	53526
532	8225	53506
533	8244	53515
534	8260	53500
535	8278	53501
536	8293	53480
537	8308	53463
538	8323	53443
539	8337	53420
540	8353	53407
541	8367	53388
542	8381	53359
543	8395	53338
544	8410	53316
545	8424	53292
546	8438	53268
547	8452	53247
548	8467	53228
549	8482	53208
550	8498	53194
551	8513	53177
552	8527	53154
553	8542	53137
554	8556	53114
555	8571	53095
556	8585	53070
557	8598	53040
558	8613	53019
559	8627	52997
560	8641	52975
561	8655	52949
562	8669	52924
563	8683	52901
564	8697	52880
565	8713	52866
566	8728	52846
567	8742	52825
568	8757	52805
569	8772	52790
570	8791	52794
571	8805	52773
572	8822	52765
573	8836	52742
574	8852	52729
575	8869	52721
576	8884	52707
577	8898	52683
578	8918	52692
579	8933	52679
580	8948	52661
581	8962	52636
582	8977	52615
583	8991	52593
584	9005	52572
585	9020	52553
586	9035	52533
587	9050	52519
588	9075	52558
589	9103	52615
590	9119	52604
591	9134	52582
592	9148	52561
593	9162	52537
594	9177	52517
595	9191	52495
596	9205	52475
597	9220	52454
598	9235	52437
599	9249	52414
600	9264	52393
601	9278	52371
602	9292	52348
603	9311	52356
604	9326	52333
605	9340	52312
606	9354	52289
607	9368	52268
608	9383	52248
609	9397	52227
610	9412	52208
611	9428	52195
612	9444	52183
613	9460	52172
614	9477	52162
615	9491	52143
616	9506	52123
617	9520	52102
618	9536	52088
619	9550	52063
620	9565	52048
621	9579	52027
622	9594	52005
623	9608	51985
624	9622	51960
625	9636	51939
626	9652	51927
627	9669	51917
628	9685	51910
629	9703	51904
630	9720	51896
631	9734	51875
632	9749	51856
633	9763	51836
634	9778	51818
635	9793	51801
636	9808	51784
637	9823	51767
638	9839	51752
639	9854	51735
640	9870	51722
641	9885	51707
642	9899	51685
643	9914	51664
644	9927	51639
645	9944	51632
646	9958	51607
647	9974	51596
648	9993	51597
649	10018	51634
650	10034	51622
651	10049	51603
652	10064	51585
653	10079	51571
654	10095	51557
655	10112	51546
656	10127	51529
657	10141	51508
658	10155	51487
659	10170	51470
660	10186	51454
661	10201	51438
662	10216	51419
663	10230	51397
664	10245	51379
665	10259	51361
666	10274	51341
667	10288	51320
668	10302	51298
669	10317	51279
670	10332	51260
671	10346	51242
672	10361	51223
673	10376	51207
674	10390	51183
675	10406	51169
676	10422	51156
677	10437	51143
678	10452	51124
679	10468	51108
680	10487	51115
681	10502	51096
682	10520	51090
683	10534	51071
684	10548	51050
685	10563	51030
686	10577	51008
687	10593	50994
688	10608	50980
689	10625	50969
690	10640	50956
691	10656	50941
692	10671	50924
693	10685	50900
694	10699	50881
695	10714	50862
696	10729	50846
697	10745	50834
698	10760	50815
699	10774	50795
700	10790	50783
701	10805	50765
702	10820	50746
703	10835	50728
704	10849	50709
705	10865	50695
706	10880	50676
707	10894	50655
708	10909	50640
709	10924	50620
710	10939	50603
711	10958	50606
712	10978	50609
713	10991	50586
714	11005	50565
715	11021	50550
716	11038	50545
717	11054	50529
718	11069	50511
719	11084	50494
720	11099	50477
721	11114	50460
722	11129	50442
723	11146	50435
724	11160	50416
725	11178	50408
726	11196	50408
727	11211	50390
728	11226	50371
729	11240	50349
730	11254	50329
731	11269	50310
732	11283	50290
733	11297	50271
734	11312	50251
735	11327	50234
736	11341	50214
737	11356	50196
738	11371	50180
739	11386	50161
740	11401	50146
741	11415	50125
742	11430	50106
743	11444	50085
744	11458	50064
745	11472	50044
746	11487	50024
747	11502	50006
748	11515	49983
749	11530	49963
750	11545	49947
751	11561	49934
752	11576	49916
753	11590	49897
754	11604	49877
755	11619	49858
756	11638	49859
757	11652	49839
758	11667	49821
759	11681	49800
760	11695	49777
761	11708	49754
762	11723	49735
763	11736	49711
764	11751	49692
765	11766	49678
766	11781	49660
767	11797	49647
768	11813	49633
769	11829	49621
770	11843	49602
771	11858	49583
772	11872	49565
773	11886	49541
774	11901	49526
775	11915	49505
776	11929	49485
777	11943	49461
778	11956	49439
779	11971	49422
780	11987	49409
781	12004	49398
782	12022	49394
783	12042	49397
784	12056	49377
785	12071	49359
786	12085	49340
787	12100	49323
788	12114	49303
789	12129	49285
790	12146	49275
791	12160	49255
792	12174	49235
793	12189	49216
794	12203	49196
795	12218	49179
796	12232	49160
797	12247	49144
798	12263	49130
799	12278	49114
800	12294	49100
801	12311	49090
802	12326	49077
803	12342	49063
804	12358	49051
805	12375	49039
806	12394	49041
807	12409	49024
808	12424	49005
809	12438	48984
810	12453	48967
811	12467	48947
812	12481	48927
813	12495	48909
814	12511	48894
815	12527	48879
816	12541	48861
817	12556	48845
818	12571	48828
819	12586	48809
820	12601	48793
821	12615	48775
822	12630	48757
823	12644	48736
824	12659	48719
825	12676	48710
826	12690	48691
827	12717	48718
828	12739	48727
829	12753	48709
830	12768	48691
831	12784	48680
832	12800	48666
833	12814	48647
834	12830	48634
835	12845	48614
836	12858	48593
837	12873	48575
838	12889	48560
839	12904	48543
840	12920	48531
841	12934	48510
842	12948	48492
843	12963	48474
844	12979	48460
845	12994	48445
846	13012	48438
847	13027	48421
848	13040	48400
849	13055	48380
850	13075	48385
851	13104	48417
852	13118	48399
853	13132	48378
854	13146	48359
855	13163	48348
856	13178	48329
857	13196	48326
858	13212	48313
859	13226	48292
860	13241	48274
861	13255	48254
862	13269	48235
863	13283	48215
864	13301	48209
865	13316	48190
866	13330	48172
867	13345	48155
868	13359	48135
869	13374	48116
870	13389	48099
871	13403	48081
872	13419	48065
873	13433	48048
874	13448	48031
875	13463	48015
876	13478	47995
877	13493	47978
878	13508	47964
879	13525	47952
880	13539	47934
881	13555	47920
882	13571	47906
883	13585	47888
884	13601	47872
885	13616	47855
886	13630	47837
887	13645	47819
888	13660	47802
889	13674	47784
890	13689	47766
891	13704	47751
892	13718	47729
893	13733	47712
894	13747	47692
895	13761	47674
896	13775	47655
897	13790	47637
898	13805	47619
899	13820	47602
900	13836	47589
901	13850	47571
902	13864	47551
903	13879	47533
904	13896	47525
905	13912	47510
906	13926	47492
907	13941	47473
908	13955	47454
909	13969	47435
910	13989	47434
911	14004	47418
912	14019	47402
913	14036	47393
914	14052	47379
915	14069	47371
916	14085	47356
917	14101	47341
918	14116	47327
919	14131	47311
920	14148	47300
921	14163	47283
922	14178	47268
923	14194	47254
924	14210	47240
925	14226	47226
926	14240	47208
927	14254	47188
928	14270	47173
929	14285	47155
930	14299	47136
931	14318	47135
932	14338	47133
933	14353	47116
934	14367	47096
935	14381	47077
936	14396	47062
937	14411	47044
938	14425	47024
939	14439	47006
940	14455	46991
941	14470	46976
942	14487	46965
943	14503	46950
944	14518	46934
945	14534	46921
946	14550	46908
947	14568	46902
948	14582	46882
949	14596	46861
950	14611	46845
951	14626	46828
952	14640	46808
953	14654	46789
954	14669	46772
955	14685	46759
956	14700	46742
957	14715	46727
958	14731	46714
959	14746	46698
960	14761	46681
961	14777	46666
962	14792	46651
963	14807	46634
964	14821	46615
965	14836	46597
966	14850	46579
967	14865	46560
968	14879	46542
969	14893	46524
970	14908	46507
971	14923	46489
972	14937	46471
973	14952	46453
974	14967	46438
975	14984	46428
976	15001	46418
977	15017	46402
978	15032	46385
979	15047	46372
980	15065	46362
981	15080	46347
982	15095	46330
983	15109	46311
984	15125	46296
985	15140	46281
986	15155	46264
987	15169	46245
988	15183	46226
989	15198	46209
990	15213	46192
991	15227	46174
992	15242	46157
993	15257	46139
994	15272	46123
995	15286	46106
996	15301	46089
997	15315	46070
998	15331	46054
999	15345	46036
1000	15361	46024
1001	15377	46008
1002	15392	45992
1003	15406	45975
1004	15421	45959
1005	15438	45945
1006	15452	45928
1007	15467	45910
1008	15481	45892
1009	15496	45875
1010	15513	45866
1011	15530	45854
1012	15545	45838
1013	15559	45819
1014	15574	45801
1015	15589	45786
1016	15604	45769
1017	15619	45752
1018	15633	45735
1019	15648	45718
1020	15663	45701
1021	15679	45687
1022	15694	45672
1023	15709	45655
1024	15725	45642
1025	15740	45627
1026	15755	45610
1027	15770	45594
1028	15785	45577
1029	15799	45557
1030	15814	45542
1031	15830	45527
1032	15846	45515
1033	15862	45501
1034	15877	45485
1035	15893	45469
1036	15908	45454
1037	15925	45445
1038	15941	45430
1039	15956	45413
1040	15971	45398
1041	15986	45381
1042	16001	45364
1043	16015	45347
1044	16030	45330
1045	16045	45312
1046	16059	45295
1047	16073	45276
1048	16088	45258
1049	16103	45242
1050	16119	45230
1051	16134	45212
1052	16148	45193
1053	16162	45176
1054	16176	45156
1055	16191	45138
1056	16206	45123
1057	16220	45104
1058	16234	45086
1059	16249	45068
1060	16263	45051
1061	16278	45033
1062	16292	45014
1063	16306	44997
1064	16321	44981
1065	16337	44966
1066	16353	44952
1067	16368	44935
1068	16382	44918
1069	16397	44901
1070	16412	44884
1071	16426	44867
1072	16441	44849
1073	16454	44828
1074	16468	44810
1075	16483	44792
1076	16497	44774
1077	16512	44759
1078	16528	44744
1079	16542	44726
1080	16557	44711
1081	16572	44694
1082	16587	44676
1083	16601	44659
1084	16616	44643
1085	16631	44626
1086	16645	44608
1087	16664	44602
1088	16683	44595
1089	16697	44578
1090	16718	44578
1091	16733	44561
1092	16747	44542
1093	16761	44524
1094	16776	44506
1095	16791	44491
1096	16806	44475
1097	16821	44459
1098	16837	44444
1099	16851	44426
1100	16865	44407
1101	16879	44390
1102	16895	44375
1103	16910	44358
1104	16924	44339
1105	16939	44325
1106	16955	44312
1107	16969	44293
1108	16983	44274
1109	16999	44259
1110	17014	44244
