iter	Logloss
0	0.6800922551
5	0.6246840766
10	0.5788206561
15	0.5393442795
20	0.5069157196
25	0.4787147155
30	0.4554552897
35	0.4362792019
40	0.4189483633
45	0.4053521513
50	0.3931546473
55	0.3828205532
60	0.3741133271
65	0.3662480294
70	0.359563757
75	0.353734602
80	0.3490022424
85	0.3447144108
90	0.3409282191
95	0.3373998323
100	0.334518392
105	0.3318090887
110	0.3293374162
115	0.3273064506
120	0.3252937689
125	0.3235319278
130	0.321931171
135	0.3204414538
140	0.3190995702
145	0.3180567845
150	0.3170332896
155	0.3160727616
160	0.3151734953
165	0.3144203165
170	0.3136447653
175	0.3129537727
180	0.3123099899
185	0.3117584695
190	0.3111955678
195	0.3106896753
200	0.3102569601
205	0.3099149049
210	0.3094737461
215	0.3091577405
220	0.3087960248
225	0.3084956531
230	0.3082350337
235	0.3079327514
240	0.3076274902
245	0.3073882776
250	0.3071763472
255	0.3069898911
260	0.3067830761
265	0.3065796303
270	0.3064259006
275	0.3062627208
280	0.3061242141
285	0.3059660264
290	0.305808681
295	0.3056670311
300	0.3055239431
305	0.3054069048
310	0.3052829431
315	0.3051591253
320	0.3050382658
325	0.3049023477
330	0.3048038604
335	0.3047069961
340	0.3046138503
345	0.3045082343
350	0.3044232855
355	0.3043335499
360	0.3042457249
365	0.3041762456
370	0.3040927348
375	0.3040066355
380	0.3039344238
385	0.3038541179
390	0.3037799957
395	0.303700984
400	0.3036265536
405	0.303561861
410	0.303487595
415	0.3034246486
420	0.3033570593
425	0.3032864911
430	0.3032194771
435	0.3031478407
440	0.3030907493
445	0.3030277207
450	0.3029742862
455	0.3029151404
460	0.3028549264
465	0.3027982459
470	0.3027417502
475	0.3026858504
480	0.3026272799
485	0.3025719347
490	0.3025218693
495	0.3024774535
500	0.3024250872
505	0.3023723512
510	0.3023210942
515	0.3022677418
520	0.3022200801
525	0.30217248
530	0.3021296049
535	0.3020849015
540	0.3020457449
545	0.3020039176
550	0.301966158
555	0.3019205301
560	0.3018792575
565	0.3018381082
570	0.3017910627
575	0.3017455786
580	0.3017064631
585	0.3016653138
590	0.3016272255
595	0.3015905547
600	0.3015459951
605	0.3015026886
610	0.3014612106
615	0.3014204105
620	0.3013782545
625	0.3013438435
630	0.3013084054
635	0.3012725974
640	0.3012371798
645	0.3011960305
650	0.3011561343
655	0.3011199771
660	0.3010894695
665	0.3010529014
670	0.3010232772
675	0.3009872638
680	0.3009502232
685	0.3009140249
690	0.3008748684
695	0.3008395329
700	0.3008098881
705	0.3007740391
710	0.300738868
715	0.3006994649
720	0.3006692243
725	0.3006405246
730	0.3006056
735	0.3005746815
740	0.3005412567
745	0.3005082016
750	0.300476297
755	0.3004438582
760	0.3004091597
765	0.300372797
770	0.3003453915
